SIZE_PROBLEM;N_STEPS;;IDS_time;IDS_nodes;BFS_time;BFS_nodes;BFS_BI_time;BFS_BI_nodes;A_time;A_nodes;A Optimized_time;A Optimized_nodes
9;5;;5;56;2;65;0;16;1;15;0;14
9;5;;4;58;1;64;0;16;2;12;1;12
9;5;;4;48;2;75;0;18;3;18;0;11
9;5;;4;60;1;61;0;16;1;12;0;12
9;5;;3;44;3;91;0;23;1;11;0;17
9;5;;4;54;2;75;1;18;1;11;0;14
9;5;;4;42;3;93;0;23;1;12;1;12
9;5;;3;54;1;66;0;16;0;9;1;9
9;5;;2;34;3;103;1;28;1;12;0;15
9;10;;117;1104;109;1313;28;111;31;84;0;39
9;10;;116;800;81;932;0;88;64;94;11;56
9;10;;19;254;15;355;5;55;11;43;1;22
9;10;;44;552;83;1359;15;120;31;74;0;28
9;10;;54;548;80;1364;15;105;15;72;0;18
9;10;;56;726;60;1059;8;96;21;70;0;37
9;10;;78;800;48;903;6;86;19;56;2;36
9;10;;40;518;73;1411;15;126;31;76;0;24
9;10;;61;640;75;1204;15;105;31;86;20;66
9;10;;65;836;44;884;0;84;15;55;15;27
9;10;;76;972;86;1497;15;135;31;72;15;44
9;10;;140;1172;83;1219;9;100;19;75;0;31
9;10;;73;944;119;1531;31;141;62;107;0;44
9;10;;71;744;54;1026;8;94;16;49;3;37
9;10;;43;544;99;1375;15;123;15;52;0;21
9;10;;75;842;46;879;15;84;15;59;0;36
9;10;;81;888;109;1599;15;123;46;79;0;40
9;10;;70;814;20;875;0;82;46;89;15;37
9;10;;48;578;84;1319;15;117;0;42;17;26
9;10;;58;726;54;1059;15;96;15;75;0;35
9;10;;89;852;46;867;0;82;31;64;15;35
9;10;;62;486;90;1431;27;120;43;89;3;37
9;10;;71;858;96;1609;0;111;46;85;15;45
9;10;;59;574;110;1323;17;117;29;71;5;46
9;10;;68;852;41;867;0;82;31;74;0;35
9;10;;102;1146;61;1251;15;104;46;81;0;38
9;10;;74;858;108;1609;11;111;36;85;0;45
9;10;;52;544;76;1375;15;123;31;69;0;43
9;10;;33;254;16;355;3;55;6;28;2;21
9;10;;28;348;18;411;3;56;11;45;1;20
9;10;;51;518;91;1411;15;126;34;76;1;24
9;10;;116;926;124;1550;15;114;31;83;31;68
